Date,CLG-OPEN,CLG-CLOSE,CON-OPEN,CON-CLOSE
1/1/2017,,,,
1/2/2017,,,,
1/3/2017,1710647,1710872,3337038,3337880
1/4/2017,1710872,1711067,3337880,3338632
1/5/2017,1711067,1711258,3338632,3339526
1/6/2017,1711258,1711449,3339526,3340501
1/7/2017,,,,
1/8/2017,,,,
1/9/2017,,,,
1/10/2017,1711449,1711649,3340501,3341425
1/11/2017,1711649,1711912,3341425,3342508
1/12/2017,1711912,1712232,3342508,3343985
1/13/2017,1712232,1712544,3343985,3345318
1/14/2017,1712544,1712658,3345318,3345875
1/15/2017,1712658,1712880,3345875,3346750
1/16/2017,,,,
1/17/2017,1712880,1715260,3346750,3355192
1/18/2017,1715260,1717406,3355263,3362882
1/19/2017,1717406,1719465,3363014,3370185
1/20/2017,1719465,1720705,3370277,3374738
1/21/2017,1720705,1720951,3374738,3376121
1/22/2017,1720951,1721462,3376121,3378519
1/23/2017,1721462,1723873,3378654,3387652
1/24/2017,1723873,1726393,3387820,3396390
1/25/2017,1726393,1728685,3396572,3404888
1/26/2017,1728685,1730936,3405081,3412742
1/27/2017,1730936,1732261,3412918,3417676
1/28/2017,1732261,1732544,3417676,3418876
1/29/2017,1732544,1733016,3418876,3421459
1/30/2017,1733016,1735566,3421578,3430644
1/31/2017,1735566,1738056,3430859,3439380
2/1/2017,1738056,1740411,3439568,3447922
2/2/2017,1740411,1742600,3448125,3455920
2/3/2017,1742600,1743872,3455994,3460809
2/4/2017,1743872,1744162,3460809,3462393
2/5/2017,1744162,1744592,3462393,3464646
2/6/2017,1744592,1747204,3464810,3473954
2/7/2017,1747204,1749900,3474327,3483342
2/8/2017,1749900,1752401,3483632,3492204
2/9/2017,1752401,1754967,3492487,3500920
2/10/2017,1754967,1756339,3501091,3505785
2/11/2017,1756339,1756600,3505785,3507060
2/12/2017,1756600,1757173,3507060,3509798
2/13/2017,1757173,1759752,3509998,3519082
2/14/2017,1759752,1762238,3519373,3527804
2/15/2017,1762238,1764732,3528068,3537154
2/16/2017,1764732,1767410,3537487,3546636
2/17/2017,1767410,1768679,3546853,3551394
2/18/2017,1768679,1769000,3551394,3552671
2/19/2017,1769000,1769538,3552671,3555336
2/20/2017,1769538,1772057,3555592,3564394
2/21/2017,1772057,1774648,3564658,3573322
2/22/2017,1774648,1777211,3573618,3582578
2/23/2017,1777211,1779459,3582860,3590578
2/24/2017,1779459,1780734,3590795,3595032
2/25/2017,1780734,1781096,3595032,3596519
2/26/2017,1781096,1781674,3596519,3599262
2/27/2017,1781674,1784235,3599516,3608688
2/28/2017,1784235,1786786,3609082,3617900
3/1/2017,1786786,1789318,3618254,3626884
3/2/2017,1789318,1791875,3627223,3635274
3/3/2017,1791875,1793164,3635492,3640194
3/4/2017,1793164,1793451,3640194,3641616
3/5/2017,1793451,1794081,3641616,3644620
3/6/2017,1794081,1796751,3644885,3654240
3/7/2017,1796751,1799500,3654641,3663720
3/8/2017,1799500,1802010,3664100,3673276
3/9/2017,1802010,1804287,3673694,3681636
3/10/2017,1804287,1805370,3681947,3685580
3/11/2017,1805370,1805465,3685580,3686037
3/12/2017,1805465,1805554,3686037,3686362
3/13/2017,1805554,1805783,3686362,3687402
3/14/2017,1805783,1806036,3687402,3688462
3/15/2017,1806036,1806248,3688462,3689388
3/16/2017,1806248,1806464,3689388,3690339
3/17/2017,1806464,1806673,3690339,3691265
3/18/2017,1806673,1806786,3691265,3691686
3/19/2017,1806786,1807114,3691686,3693132
3/20/2017,1807114,1809518,3693279,3701088
3/21/2017,1809518,1812076,3701298,3709544
3/22/2017,1812076,1814554,3709942,3718578
3/23/2017,1814554,1816926,3718922,3727052
3/24/2017,1816926,1818181,3727358,3731662
3/25/2017,1818181,1818569,3731662,3733113
3/26/2017,1818569,1819172,3733113,3735805
3/27/2017,1819172,1821827,3736057,3744948
3/28/2017,1821827,1824571,3745486,3754320
3/29/2017,1824571,1827149,3754692,3763298
3/30/2017,1827149,1829435,3763762,3771666
3/31/2017,1829435,1830687,3771970,3776401
4/1/2017,1830687,1831019,3776401,3777937
4/2/2017,1831019,1831546,3777937,3780659
4/3/2017,1831546,1834012,3780999,3789520
4/4/2017,1834012,1836529,3789944,3798428
4/5/2017,1836529,1839020,3798865,3807570
4/6/2017,1839020,1841628,3807963,3816522
4/7/2017,1841628,1843032,3816875,3821724
4/8/2017,1843032,1843885,3821724,3823438
4/9/2017,1843885,1844412,3823438,3825860
4/10/2017,1844412,1847006,3826118,3834268
4/11/2017,1847006,1849602,3834675,3843262
4/12/2017,1849602,1852062,3843726,3852058
4/13/2017,1852062,1853948,3852419,3858265
4/14/2017,,,,
4/15/2017,1853948,1854322,3858265,3858844
4/16/2017,1854322,1855097,3858844,3860190
4/17/2017,1855097,1859738,3860426,3868848
4/18/2017,1859738,1862382,3869257,3878050
4/19/2017,1862382,1865040,3878596,3887538
4/20/2017,1865040,1867566,3889320,3895564
4/21/2017,1867566,1868827,3895862,3899928
4/22/2017,1868827,1869387,3899928,3901630
4/23/2017,1869387,1870324,3901630,3904299
4/24/2017,1870324,1873978,3904598,3913960
4/25/2017,1873978,1879552,3914398,3924158
4/26/2017,1879552,1885194,3924774,3934434
4/27/2017,1885194,1890551,3935190,3943312
4/28/2017,1890551,1893469,3943776,3948596
4/29/2017,1893469,1894358,3948596,3950434
4/30/2017,1894358,1896118,3950434,3954012
5/1/2017,1896118,1901362,3954460,3963744
5/2/2017,1901362,1905494,3964298,3971824
5/3/2017,1905494,1909468,3972299,3979928
5/4/2017,1909468,1913684,3980922,3988880
5/5/2017,1913684,1916428,3989386,3994210
5/6/2017,1916428,1917397,3994210,3996188
5/7/2017,1917397,1919023,3996188,3999843
5/8/2017,1919023,1922791,3999990,4007188
5/9/2017,1922791,1925717,4007756,4013964
5/10/2017,1925717,1927992,4014386,4018144
5/11/2017,1927992,1928762,4018144,4019505
5/12/2017,1928762,1929202,4019505,4020549
5/13/2017,,,,
5/14/2017,,,,
5/15/2017,1929202,1930077,4020549,4021733
5/16/2017,1930077,1930680,4021733,4022600
5/17/2017,1930680,1931343,4022600,4024038
5/18/2017,1931343,1932400,4024038,4025504
5/19/2017,1932400,1932936,4025504,4026434
5/20/2017,1932936,1933105,4026434,4026715
5/21/2017,1933105,1933260,4026715,4026880
5/22/2017,1933260,1934026,4026880,4028308
5/23/2017,1934026,1934700,4028308,4029630
5/24/2017,1934700,1935443,4029630,4030998
5/25/2017,1935443,1936230,4030998,4032284
5/26/2017,1936230,1936723,4032284,4033119
5/27/2017,1936723,1936851,4033119,4033364
5/28/2017,,,,
5/29/2017,,,,
5/30/2017,1936851,1937670,4033364,4034674
5/31/2017,1937670,1938550,4034674,4035954
6/1/2017,1938550,1939385,4035954,4037349
6/2/2017,1939385,1939973,4037349,4038551
6/3/2017,1939973,1940124,4038551,4038838
6/4/2017,1940124,1940305,4038838,4039160
6/5/2017,1940305,1941108,4039160,4040640
6/6/2017,1941108,1942208,4040640,4042130
6/7/2017,1942208,1942852,4042130,4043526
6/8/2017,1942852,1943590,4043526,4044870
6/9/2017,1943590,1944048,4044870,4045778
6/10/2017,1944048,1944200,4045778,4046022
6/11/2017,1944200,1944276,4046022,4046356
6/12/2017,1944276,1945160,4046356,4048044
6/13/2017,1945160,1946012,4048044,4049500
6/14/2017,1946012,1946786,4049500,4050862
6/15/2017,1946786,1947954,4050862,4052532
6/16/2017,1947954,1948177,4052532,4053542
6/17/2017,1948177,1948320,4053542,4053795
6/18/2017,1948320,1948552,4053795,4054100
6/19/2017,1948552,1949294,4054100,4055676
6/20/2017,1949294,1950246,4055676,4057356
6/21/2017,1950246,1951106,4057356,4059284
6/22/2017,1951106,1951924,4059284,4060568
6/23/2017,1951924,1952333,4060568,4061749
6/24/2017,1952333,1952586,4061749,4062433
6/25/2017,1952586,1952766,4062433,4062742
6/26/2017,1952766,1953506,4062742,4064148
6/27/2017,1953506,1954416,4064148,4065459
6/28/2017,1954416,1955148,4065459,4066679
6/29/2017,1955148,1955930,4066679,4068150
6/30/2017,1955930,1956477,4068150,4069239